ENTITY_STABLE_ID	NAME	DESCRIPTION	URL	PATIENT_ID_1	PATIENT_ID_2	PATIENT_ID_3
mutational_signature_contribution_SBS1	SBS1 (Age)	Number of mutations corellated with age	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS1.tt	0.161391792	7.81e-12	0.350194272
mutational_signature_contribution_SBS2	SBS2 (APOBEC)	Attributed to activity of AID/APOBEC family of cytidine deaminases	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS2.tt	2.92e-14	3.36e-10	0.03035481
mutational_signature_contribution_SBS3	SBS3 (HRD)	Attributed to homologous recombination defects (HRD) in DNA damage response, most often found with germline and somatic BRCA mutations in breast, pancreatic, ovarian cancers, and in pancreatic tumors responsive to platinum therapy	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS3.tt	3.61e-09	6.59e-13	2.77e-11
mutational_signature_contribution_SBS4	SBS4 (Smoking)	Associated with tobacco smoking likely due to direct DNA damage by tobacco smoke mutagens	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS4.tt	8.85e-11	2.51e-12	3.71e-12
mutational_signature_contribution_SBS5	SBS5 (Unknown)	Unknown etiology but is clock-like with the number of mutations in most cancers and normal cells correlated with the age	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS5.tt	3.86e-12	5.69e-11	1.94e-11
mutational_signature_contribution_SBS6	SBS6 (MMR/MSI)	Associated with defective DNA mismatch repair (MMR) and is found in microsatellite unstable (MSI) tumors; one of 7 signatures associated with MMR/MSI along with SBS14, SBS15, SBS20, SBS21, SBS26, and SBS44	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS6.tt	5.24e-11	0.029046246	1.02e-11
mutational_signature_contribution_SBS7a	SBS7a (UV)	Attributed to ultraviolet light (UV) exposure and found in cancers of the skin; one of 4 signatures associated with UV exposure (SBS7b, SBS7c, and SBS7d)	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS7a.tt	0.028501391	0.073244455	2.36e-12
mutational_signature_contribution_SBS7b	SBS7b (UV)	Attributed to ultraviolet light (UV) exposure and found in cancers of the skin; one of 4 signatures associated with UV exposure (SBS7a, SBS7c, and SBS7d)	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS7b.tt	2.82e-12	1.79e-06	1.53e-12
mutational_signature_contribution_SBS7c	SBS7c (UV)	Attributed to ultraviolet light (UV) exposure and found in cancers of the skin; one of 4 signatures associated with UV exposure (SBS7a, SBS7b, and SBS7d)	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS7c.tt	3.12e-11	4.87e-14	0.076873307
mutational_signature_contribution_SBS7d	SBS7d (UV)	Attributed to ultraviolet light (UV) exposure and found in cancers of the skin; one of 4 signatures associated with UV exposure (SBS7a, SBS7b, and SBS7c)	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS7d.tt	4.31e-13	0.001564567	2.77e-12
mutational_signature_contribution_SBS8	SBS8 (Unknown)	Unknown etiology	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS8.tt	4.04e-12	1.94e-10	4.55e-10
mutational_signature_contribution_SBS9	SBS9 (POL-eta)	May be due in part to mutations induced during replication by polymerase eta as part of somatic hypermutation in lymphoid cells	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS9.tt	0.024666507	1.99e-11	2.46e-12
mutational_signature_contribution_SBS10a	SBS10a (POLE)	Attributed to polymerase epsilon exonuclease domain mutations	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS10a.tt	1.96e-12	1.44e-11	0.085988697
mutational_signature_contribution_SBS10b	SBS10b (POLE)	Attributed to polymerase epsilon exonuclease domain mutations	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS10b.tt	1.51e-12	5.88e-09	3.13e-12
mutational_signature_contribution_SBS11	SBS11 (TMZ)	Exhibits a mutational pattern resembling that of alkylating agents and associated with patient histories of temozolomide (TMZ)	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS11.tt	6.39e-10	0.582884555	0.047019779
mutational_signature_contribution_SBS12	SBS12 (Unknown)	Etiology unknown	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS12.tt	6.78e-13	3.73e-10	4.33e-14
mutational_signature_contribution_SBS13	SBS13 (APOBEC)	Attributed to activity of the AID/APOBEC family of cytidine deaminases	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS13.tt	0.01630309	3.42e-06	4.19e-13
mutational_signature_contribution_SBS14	SBS14 (MMR/MSI)	Associated with concurrent polymerase epsilon mutation, defecticve DNA mismatch repair (MMR), and microsatellite instability (MSI); present in very high numbers in all samples where it has been observed; one of 7 signatures associated with MMR/MSI (SBS6, SBS15, SBS20, SBS21, SBS26, and SBS44)	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS14.tt	5.13e-14	8.46e-11	1.71e-11
mutational_signature_contribution_SBS15	SBS15 (MMR/MSI)	Associated with defecticve DNA mismatch repair (MMR), and microsatellite instability (MSI); one of 7 signatures associated with MMR/MSI (SBS6, SBS14, SBS20, SBS21, SBS26, and SBS44)	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS15.tt	3.6e-12	8.76e-05	1.5e-11
mutational_signature_contribution_SBS16	SBS16 (Unknown)	Unknown etiology	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS16.tt	2.69e-12	3.29e-11	0.039455961
mutational_signature_contribution_SBS17a	SBS17a (Unknown)	Unknown etiology	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS17a.tt	0.074882955	0.001234207	3.36e-12
mutational_signature_contribution_SBS17b	SBS17b (Unknown)	Unknown etiology but has been linked to fluorouracil (5FU) chemotherapy treatment and reactive oxygen species damage	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS17b.tt	1.17e-13	1.48e-10	9.85e-12
mutational_signature_contribution_SBS18	SBS18 (ROS)	Possibly linked to damage by reactive oxygen species (ROS)	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS18.tt	8.11e-12	1.03e-10	1.32e-11
mutational_signature_contribution_SBS19	SBS19 (Unknown)	Unknown etiology	https://cancer.sanger.ac.uk/cosmic/signatures/SBS/SBS19.tt	4.5e-10	4.91e-10	1.72e-11
