Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	total
M00001142-CM-M33-O33-K33	14	8	49	10	2053	38	5	2177
M00000876-CM-M33-O33-K33	16	8	41	12	1577	31	6	1691
M00000874-CM-M33-O33-K33	11	6	25	12	1420	38	5	1517
M00000892-CM-M40-O40-K20	17	9	43	10	1374	32	4	1489
M00000906-CM-M50-O50	12	6	31	13	1191	26	3	1282
M00000891-CM-M40-O40-K20	9	3	30	6	1080	29	3	1160
M00000529-KG1a	12	3	8	3	1014	38	1	1079
M00000522-MOLM14-L1	10	5	45	10	893	21	2	986
M00001424-OCI-AML3	10	8	30	7	833	17	2	907
M00001352-OCI-AML3	8	8	34	4	828	17	2	901
M00000513-OCI-AML3	8	8	33	8	813	17	2	889
